Sno,Album_Name,Album_Price,Artist_Name,CopyRight,Customer_Rating,Genre,Price,Released,Song_Name,Time,Group
2995,Feel So Close (Remixes) - EP,$4.99 ,Calvin Harris, 2013 Sony Music Entertainment UK Limited,4.29267,"Dance,Music,R&B/Soul,Electronic",$1.29 ,5-Feb-13,Feel So Close (Instrumental),3:29,Dance
2996,Under Control (feat. Hurts) - Single (Extended Mix),$1.29 ,Calvin Harris & Alesso, 2013 Sony Music Entertainment UK Limited,4.4,"Dance,Music",$1.29 ,8-Dec-13,Under Control (feat. Hurts) [Extended Mix],5:36,Dance
2997,Motion,$11.99 ,Calvin Harris, 2014 Sony Music Entertainment UK Limited,4.56271,"Dance,Music,R&B/Soul,Rock,Electronic",$1.29 ,4-Nov-14,Dollar Signs (feat. Tinashe),3:56,Dance
2998,Sweet Nothing (feat. Florence Welch) [Remixes] - EP,$3.99 ,Calvin Harris, 2012 Sony Music Entertainment UK Limited,4.66667,"Dance,Music",$1.29 ,11-Dec-12,Sweet Nothing (feat. Florence Welch) [Qulinez Remix],6:12,Dance
2999,Sweet Nothing (feat. Florence Welch) [Remixes] - EP,$3.99 ,Calvin Harris, 2012 Sony Music Entertainment UK Limited,4.66667,"Dance,Music",$1.29 ,11-Dec-12,Sweet Nothing (feat. Florence Welch) [Qulinez Remix],6:12,Dance
3000,Sweet Nothing (feat. Florence Welch) [Remixes] - EP,$3.99 ,Calvin Harris, 2012 Sony Music Entertainment UK Limited,4.66667,"Dance,Music",$1.29 ,11-Dec-12,Sweet Nothing (feat. Florence Welch) [Qulinez Remix],6:12,Dance
3001,Sweet Nothing (feat. Florence Welch) [Remixes] - EP,$3.99 ,Calvin Harris, 2012 Sony Music Entertainment UK Limited,4.66667,"Dance,Music",$1.29 ,11-Dec-12,Sweet Nothing (feat. Florence Welch) [Qulinez Remix],6:12,Dance
3002,"Ultra / Wynn Presents Xs Las Vegas Sessions, Vol. 2",$9.99 ,Zeds Dead & Omar LinX," 2012 Ultra Records, Inc.",4.41667,"Dance,Music,Electronic",$1.29 ,8-Jan-13,Cowboy,4:25,Dance
3003,Bounce (feat. Kelis) [Remixes],$4.99 ,Calvin Harris, 2013 Sony Music Entertainment UK Limited,4.66667,"Dance,Music",$1.29 ,5-Feb-13,Awooga (Extended Mix),7:12,Dance
3004,Bounce (feat. Kelis) [Remixes],$4.99 ,Calvin Harris, 2013 Sony Music Entertainment UK Limited,4.66667,"Dance,Music",$1.29 ,5-Feb-13,Awooga (Extended Mix),7:12,Dance
3005,Bounce (feat. Kelis) [Remixes],$4.99 ,Calvin Harris, 2013 Sony Music Entertainment UK Limited,4.66667,"Dance,Music",$1.29 ,5-Feb-13,Awooga (Extended Mix),7:12,Dance
3006,Bounce (feat. Kelis) [Remixes],$4.99 ,Calvin Harris, 2013 Sony Music Entertainment UK Limited,4.66667,"Dance,Music",$1.29 ,5-Feb-13,Awooga (Extended Mix),7:12,Dance
3007,Bounce (feat. Kelis) [Remixes],$4.99 ,Calvin Harris, 2013 Sony Music Entertainment UK Limited,4.66667,"Dance,Music",$1.29 ,5-Feb-13,Awooga (Extended Mix),7:12,Dance
3008,Feel So Close (Remixes) - EP,$4.99 ,Calvin Harris, 2013 Sony Music Entertainment UK Limited,4.29267,"Dance,Music,R&B/Soul,Electronic",$1.29 ,5-Feb-13,Feel So Close (Instrumental),3:29,Dance
3009,Feel So Close (Remixes) - EP,$4.99 ,Calvin Harris, 2013 Sony Music Entertainment UK Limited,4.29267,"Dance,Music,R&B/Soul,Electronic",$1.29 ,5-Feb-13,Feel So Close (Instrumental),3:29,Dance
3010,Feel So Close (Remixes) - EP,$4.99 ,Calvin Harris, 2013 Sony Music Entertainment UK Limited,4.29267,"Dance,Music,R&B/Soul,Electronic",$1.29 ,5-Feb-13,Feel So Close (Instrumental),3:29,Dance
3011,Feel So Close (Remixes) - EP,$4.99 ,Calvin Harris, 2013 Sony Music Entertainment UK Limited,4.29267,"Dance,Music,R&B/Soul,Electronic",$1.29 ,5-Feb-13,Feel So Close (Instrumental),3:29,Dance
3012,Feel So Close (Remixes) - EP,$4.99 ,Calvin Harris, 2013 Sony Music Entertainment UK Limited,4.29267,"Dance,Music,R&B/Soul,Electronic",$1.29 ,5-Feb-13,Feel So Close (Instrumental),3:29,Dance
3013,We'll Be Coming Back (feat. Example) [Remixes],$4.99 ,Calvin Harris, 2013 Sony Music Entertainment UK Limited,4.82353,"Dance,Music,R&B/Soul,Electronic",$1.29 ,5-Feb-13,We'll Be Coming Back (feat. Example) [Jacob Plant Remix],5:02,Dance
3014,We'll Be Coming Back (feat. Example) [Remixes],$4.99 ,Calvin Harris, 2013 Sony Music Entertainment UK Limited,4.82353,"Dance,Music,R&B/Soul,Electronic",$1.29 ,5-Feb-13,We'll Be Coming Back (feat. Example) [Jacob Plant Remix],5:02,Dance
3015,We'll Be Coming Back (feat. Example) [Remixes],$4.99 ,Calvin Harris, 2013 Sony Music Entertainment UK Limited,4.82353,"Dance,Music,R&B/Soul,Electronic",$1.29 ,5-Feb-13,We'll Be Coming Back (feat. Example) [Jacob Plant Remix],5:02,Dance
3016,We'll Be Coming Back (feat. Example) [Remixes],$4.99 ,Calvin Harris, 2013 Sony Music Entertainment UK Limited,4.82353,"Dance,Music,R&B/Soul,Electronic",$1.29 ,5-Feb-13,We'll Be Coming Back (feat. Example) [Jacob Plant Remix],5:02,Dance
3017,We'll Be Coming Back (feat. Example) [Remixes],$4.99 ,Calvin Harris, 2013 Sony Music Entertainment UK Limited,4.82353,"Dance,Music,R&B/Soul,Electronic",$1.29 ,5-Feb-13,We'll Be Coming Back (feat. Example) [Jacob Plant Remix],5:02,Dance
3018,We'll Be Coming Back (feat. Example) [Remixes],$4.99 ,Calvin Harris, 2013 Sony Music Entertainment UK Limited,4.82353,"Dance,Music,R&B/Soul,Electronic",$1.29 ,5-Feb-13,We'll Be Coming Back (feat. Example) [Jacob Plant Remix],5:02,Dance
3019,Ultra Music Festival 2013,$9.99 ,Afrojack," 2013 Ultra Records, LLC",4.48124,"Dance,Music,Electronic",$1.29 ,19-Mar-13,Air Guitar (Ultra Music Festival Anthem) [Bonus Track],6:14,Dance
3020,#Hits,$10.99 ,Wretch 32, 2013 Ministry of Sound Recordings Ltd.,4.77273,"Dance,Music,Rock,Hip-Hop/Rap,Country,Electronic",$1.29 ,5-Aug-13,Unorthodox (feat. Example),3:03,Dance
3021,Ultra Weekend 6,$13.99 ,Kaskade & Seamus Haji," 2010 Ultra Records,  Inc.",2.51429,"Dance,Music,Electronic",$1.29 ,25-May-10,So Far Away (with Haley),6:48,Dance
3022,Ultra 2011,$13.99 ,Inna," 2010 Ultra Records, Inc.",3.85526,"Dance,Music,Electronic",$1.29 ,9-Nov-10,Amazing (Play & Win Club Version),3:56,Dance
3023,"DJ Tools, Vol. 8",$7.99 ,Drop the Lime," 2011 Ultra Records, Inc.",3.11111,"Dance,Music,Electronic",$0.99 ,28-Jun-11,Hot As Hell (Yolanda Be Cool Remix),5:49,Dance
3024,Ultra Weekend 7,$13.99 ,deadmau5," 2011 Ultra Records, Inc.",3.84058,"Dance,Music,Electronic",$0.99 ,26-Jul-11,Raise Your Weapon,7:18,Dance
3025,"Hardwell Presents Revealed, Vol. 2",$9.99 ,Hardwell, 2011 Cloud 9 Music,4.73332,"Dance,Music,Electronic,Rock,House",Album Only,22-Jul-11,"Hardwell Presents Revealed, Vol. 2 - World Edition (Full Continuous DJ Mix)",43:34:00,Dance
3026,The Inbetweeners Movie,$11.99 ,The Inbetweeners, Compilation (P) 2011 Sony Music Entertainment,4.04761,"Soundtrack,Music",Album Only,19-Aug-11,To the P****y,0:04,Soundtrack
3027,The Jersey Shore 3,$9.99 ,Benny Benassi," 2011 Ultra Records, Inc.",4.07895,"Dance,Music,Electronic",$0.99 ,11-Oct-11,Cinema (Laidback Luke Remix) [feat. Gary Go],5:30,Dance
3028,Ultra 2012,$11.99 ,Alyssa Reid," 2011 Ultra Records, Inc.",4.00962,"Dance,Music,Electronic",$0.99 ,8-Nov-11,Alone Again (Original Mix) [feat. Jump Smokers],3:25,Dance
3029,As Heard On TV,$9.99 ,Honorebel," 2012 Ultra Records, Inc.",4.23077,"Dance,Music,Electronic",$0.99 ,28-Feb-12,I Wanna (Feat. Pitbull),3:26,Dance
3030,Ultra Weekend 8,$13.99 ,MNDR," 2012 Ultra Records, Inc.",3.40625,"Dance,Music,Electronic",$1.29 ,29-May-12,#1 in Heaven (Infuze Remix),4:17,Dance
3031,"Electric Daisy Carnival, Vol. 3 (Mixed By R3hab)",$9.99 ,Wolfgang Gartner," 2012 Ultra Records, Inc.",4.03306,"Dance,Music,Electronic",$1.29 ,5-Jun-12,Redline,5:00,Dance
3032,Ultra Summer,$9.99 ,Steve Aoki & Angger Dimas," 2012 Ultra Records, Inc.",3.48571,"Dance,Music,Electronic",$1.29 ,20-Jul-12,Beat Down (feat. Iggy Azalea),3:29,Dance
3033,Ultra Dubstep,$9.99 ,deadmau5," 2012 Ultra Records, Inc.",3.92308,"Dance,Music,Electronic",$1.29 ,9-Oct-12,Raise Your Weapon (Noisia Remix),5:34,Dance
3034,The Evolution of Man (Deluxe Version),$7.99 ,Example, 2012 Ministry of Sound Recordings Limited,4.73913,"Dance,Music,Electronic,Hip-Hop/Rap,Rock",$1.29 ,19-Nov-12,Close Enemies (Dyro Remix),4:19,Dance
3035,The Evolution of Man,$6.99 ,Example & Calvin Harris, 2012 Ministry of Sound Recordings Limited,5,"Dance,Music,Electronic,Hip-Hop/Rap,Rock",$1.29 ,19-Nov-12,We'll Be Coming Back,3:57,Dance
3036,18 Months,$9.99 ,Calvin Harris, 2012 Sony Music Entertainment UK under exclusive license to Ultra Music / Roc Nation / Columbia Records,4.39125,"Dance,Music,House,Rock,Electronic",$1.29 ,30-Oct-12,Thinking About You (feat. Ayah Marar),4:07,Dance
3037,18 Months,$9.99 ,Calvin Harris, 2012 Sony Music Entertainment UK under exclusive license to Ultra Music / Roc Nation / Columbia Records,4.39125,"Dance,Music,House,Rock,Electronic",$1.29 ,30-Oct-12,Thinking About You (feat. Ayah Marar),4:07,Dance
3038,18 Months,$9.99 ,Calvin Harris, 2012 Sony Music Entertainment UK under exclusive license to Ultra Music / Roc Nation / Columbia Records,4.39125,"Dance,Music,House,Rock,Electronic",$1.29 ,30-Oct-12,Thinking About You (feat. Ayah Marar),4:07,Dance
3039,18 Months,$9.99 ,Calvin Harris, 2012 Sony Music Entertainment UK under exclusive license to Ultra Music / Roc Nation / Columbia Records,4.39125,"Dance,Music,House,Rock,Electronic",$1.29 ,30-Oct-12,Thinking About You (feat. Ayah Marar),4:07,Dance
3040,18 Months,$9.99 ,Calvin Harris, 2012 Sony Music Entertainment UK under exclusive license to Ultra Music / Roc Nation / Columbia Records,4.39125,"Dance,Music,House,Rock,Electronic",$1.29 ,30-Oct-12,Thinking About You (feat. Ayah Marar),4:07,Dance
3041,School Sessions (DJ Kai Song Presents),$9.99 ,Third Party," 2012 Ultra Records, Inc.",3.42857,"Dance,Music,Children's Music",$1.29 ,27-Nov-12,Thank You (feat. Loleatta Holloway),4:37,Dance
3042,Ready for the Weekend - EP,$3.96 ,Calvin Harris," 2009 Sony Music Entertainment Limited under exclusive license to Ultra Records, Inc.",4.54545,"Dance,Music,Rock,Electronic",$0.99 ,15-Sep-09,Ready for the Weekend (Dave Spoon Dub Remix),6:35,Dance
3043,Ready for the Weekend - EP,$3.96 ,Calvin Harris," 2009 Sony Music Entertainment Limited under exclusive license to Ultra Records, Inc.",4.54545,"Dance,Music,Rock,Electronic",$0.99 ,15-Sep-09,Ready for the Weekend (Dave Spoon Dub Remix),6:35,Dance
3044,Ready for the Weekend - EP,$3.96 ,Calvin Harris," 2009 Sony Music Entertainment Limited under exclusive license to Ultra Records, Inc.",4.54545,"Dance,Music,Rock,Electronic",$0.99 ,15-Sep-09,Ready for the Weekend (Dave Spoon Dub Remix),6:35,Dance
3045,Pacha Aí±o 2010,$15.99 ,"Steven Lee, Gaby Dershin & Asia"," 2009 Ultra Records, Inc.",4.57143,"Dance,Music,Electronic",$0.99 ,17-Nov-09,Heat Aka Heat of the Moment (Jorge Jaramillo Club Remix),4:46,Dance
3046,Ultra Chilled 06,$11.99 ,Enur," 2009 Ultra Records, Inc.",4,"Electronic,Music,Dance",$0.99 ,17-Nov-09,Calabria (Junkyard Remix) [feat. Natasja],4:07,Electronic
3047,Just Dance 2 (Bonus Track Version),$7.99 ,Kristinia DeBarge, 2009 The Island Def Jam Music Group,4.03226,"Dance,Music",$0.99 ,1-Dec-09,Future Love Remix (feat. Pitbull) [Bonus Track],3:23,Dance
3048,Flashback - EP,$5.94 ,Calvin Harris," 2009 Sony Music Entertainment Limited under exclusive license to Ultra Records, Inc.",4.8,"Dance,Music,Electronic",$0.99 ,1-Dec-09,Flashback (Instrumental),3:46,Dance
3049,Flashback - EP,$5.94 ,Calvin Harris," 2009 Sony Music Entertainment Limited under exclusive license to Ultra Records, Inc.",4.8,"Dance,Music,Electronic",$0.99 ,1-Dec-09,Flashback (Instrumental),3:46,Dance
3050,Flashback - EP,$5.94 ,Calvin Harris," 2009 Sony Music Entertainment Limited under exclusive license to Ultra Records, Inc.",4.8,"Dance,Music,Electronic",$0.99 ,1-Dec-09,Flashback (Instrumental),3:46,Dance
3051,Flashback - EP,$5.94 ,Calvin Harris," 2009 Sony Music Entertainment Limited under exclusive license to Ultra Records, Inc.",4.8,"Dance,Music,Electronic",$0.99 ,1-Dec-09,Flashback (Instrumental),3:46,Dance
3052,Flashback - EP,$5.94 ,Calvin Harris," 2009 Sony Music Entertainment Limited under exclusive license to Ultra Records, Inc.",4.8,"Dance,Music,Electronic",$0.99 ,1-Dec-09,Flashback (Instrumental),3:46,Dance
3053,Flashback - EP,$5.94 ,Calvin Harris," 2009 Sony Music Entertainment Limited under exclusive license to Ultra Records, Inc.",4.8,"Dance,Music,Electronic",$0.99 ,1-Dec-09,Flashback (Instrumental),3:46,Dance
3054,Ultra Top 10 December,$7.99 ,Kim Sozzi," 2009 Ultra Records,  Inc.",4.38095,"Dance,Music,Electronic",$1.29 ,22-Dec-09,Cry Tonight (Kiss Me Back) [Jeff Martens Radio Edit] {Bonus Track},2:50,Dance
3055,Ultra Electro 3,$11.99 ,Late Night Alumni," 2009 Ultra Records,  Inc.",4.54545,"Dance,Music,Electronic,Rock",$0.99 ,8-Dec-09,You Can Be the One (Sultan & Ned Shepard Remix),6:18,Dance
3056,Ultra Dance 11,$13.99 ,Basshunter," 2010 Ultra Records, Inc.",3.11037,"Dance,Music,Pop",$1.29 ,26-Jan-10,Every Morning (Extended Mix),4:15,Dance
3057,You Used to Hold Me - EP,$5.94 ,Calvin Harris," 2009 Sony Music Entertainment Limited under exclusive license to Ultra Records, Inc.",4.56818,"Dance,Music,Electronic,Rock",$0.99 ,9-Feb-10,You Used to Hold Me,3:51,Dance
3058,You Used to Hold Me - EP,$5.94 ,Calvin Harris," 2009 Sony Music Entertainment Limited under exclusive license to Ultra Records, Inc.",4.56818,"Dance,Music,Electronic,Rock",$0.99 ,9-Feb-10,You Used to Hold Me,3:51,Dance
3059,You Used to Hold Me - EP,$5.94 ,Calvin Harris," 2009 Sony Music Entertainment Limited under exclusive license to Ultra Records, Inc.",4.56818,"Dance,Music,Electronic,Rock",$0.99 ,9-Feb-10,You Used to Hold Me,3:51,Dance
3060,You Used to Hold Me - EP,$5.94 ,Calvin Harris," 2009 Sony Music Entertainment Limited under exclusive license to Ultra Records, Inc.",4.56818,"Dance,Music,Electronic,Rock",$0.99 ,9-Feb-10,You Used to Hold Me,3:51,Dance
3061,You Used to Hold Me - EP,$5.94 ,Calvin Harris," 2009 Sony Music Entertainment Limited under exclusive license to Ultra Records, Inc.",4.56818,"Dance,Music,Electronic,Rock",$0.99 ,9-Feb-10,You Used to Hold Me,3:51,Dance
3062,You Used to Hold Me - EP,$5.94 ,Calvin Harris," 2009 Sony Music Entertainment Limited under exclusive license to Ultra Records, Inc.",4.56818,"Dance,Music,Electronic,Rock",$0.99 ,9-Feb-10,You Used to Hold Me,3:51,Dance
3063,Ultra Top 10 March,$7.99 ,Haley," 2010 Ultra Records, Inc.",3.83333,"Dance,Music,Electronic",$1.29 ,2-Mar-10,This Is How It Goes (Kaskade's Grand Club Edit),6:24,Dance
3064,The Girls - EP,$3.96 ,Calvin Harris, 2007 Sony BMG Music Entertainment (UK) Limited,4.69231,"Dance,Music,Electronic",$0.99 ,26-Feb-08,The Girls (Groove Armada Dub),7:48,Dance
3065,The Girls - EP,$3.96 ,Calvin Harris, 2007 Sony BMG Music Entertainment (UK) Limited,4.69231,"Dance,Music,Electronic",$0.99 ,26-Feb-08,The Girls (Groove Armada Dub),7:48,Dance
3066,The Girls - EP,$3.96 ,Calvin Harris, 2007 Sony BMG Music Entertainment (UK) Limited,4.69231,"Dance,Music,Electronic",$0.99 ,26-Feb-08,The Girls (Groove Armada Dub),7:48,Dance
3067,The Girls - EP,$3.96 ,Calvin Harris, 2007 Sony BMG Music Entertainment (UK) Limited,4.69231,"Dance,Music,Electronic",$0.99 ,26-Feb-08,The Girls (Groove Armada Dub),7:48,Dance
3068,Ready for the Weekend (Bonus Track Version),$9.99 ,Calvin Harris," 2009 Sony Music Entertainment Limited under exclusive license to Ultra Records, Inc.",4.55917,"Dance,Music,Electronic,Rock",$0.99 ,18-Aug-09,I'm Not Alone (deadmau5 Mix) [Bonus Track],8:15,Dance
3069,Ready for the Weekend (Bonus Track Version),$9.99 ,Calvin Harris," 2009 Sony Music Entertainment Limited under exclusive license to Ultra Records, Inc.",4.55917,"Dance,Music,Electronic,Rock",$0.99 ,18-Aug-09,I'm Not Alone (deadmau5 Mix) [Bonus Track],8:15,Dance
3070,Ready for the Weekend (Bonus Track Version),$9.99 ,Calvin Harris," 2009 Sony Music Entertainment Limited under exclusive license to Ultra Records, Inc.",4.55917,"Dance,Music,Electronic,Rock",$0.99 ,18-Aug-09,I'm Not Alone (deadmau5 Mix) [Bonus Track],8:15,Dance
3071,Ready for the Weekend (Bonus Track Version),$9.99 ,Calvin Harris," 2009 Sony Music Entertainment Limited under exclusive license to Ultra Records, Inc.",4.55917,"Dance,Music,Electronic,Rock",$0.99 ,18-Aug-09,I'm Not Alone (deadmau5 Mix) [Bonus Track],8:15,Dance
3072,Ready for the Weekend (Bonus Track Version),$9.99 ,Calvin Harris," 2009 Sony Music Entertainment Limited under exclusive license to Ultra Records, Inc.",4.55917,"Dance,Music,Electronic,Rock",$0.99 ,18-Aug-09,I'm Not Alone (deadmau5 Mix) [Bonus Track],8:15,Dance
3073,Ready for the Weekend (Bonus Track Version),$9.99 ,Calvin Harris," 2009 Sony Music Entertainment Limited under exclusive license to Ultra Records, Inc.",4.55917,"Dance,Music,Electronic,Rock",$0.99 ,18-Aug-09,I'm Not Alone (deadmau5 Mix) [Bonus Track],8:15,Dance
3074,Ready for the Weekend (Bonus Track Version),$9.99 ,Calvin Harris," 2009 Sony Music Entertainment Limited under exclusive license to Ultra Records, Inc.",4.55917,"Dance,Music,Electronic,Rock",$0.99 ,18-Aug-09,I'm Not Alone (deadmau5 Mix) [Bonus Track],8:15,Dance
3075,Ready for the Weekend (Bonus Track Version),$9.99 ,Calvin Harris," 2009 Sony Music Entertainment Limited under exclusive license to Ultra Records, Inc.",4.55917,"Dance,Music,Electronic,Rock",$0.99 ,18-Aug-09,I'm Not Alone (deadmau5 Mix) [Bonus Track],8:15,Dance
3076,Ready for the Weekend (Bonus Track Version),$9.99 ,Calvin Harris," 2009 Sony Music Entertainment Limited under exclusive license to Ultra Records, Inc.",4.55917,"Dance,Music,Electronic,Rock",$0.99 ,18-Aug-09,I'm Not Alone (deadmau5 Mix) [Bonus Track],8:15,Dance
3077,Ready for the Weekend (Bonus Track Version),$9.99 ,Calvin Harris," 2009 Sony Music Entertainment Limited under exclusive license to Ultra Records, Inc.",4.55917,"Dance,Music,Electronic,Rock",$0.99 ,18-Aug-09,I'm Not Alone (deadmau5 Mix) [Bonus Track],8:15,Dance
3078,Ready for the Weekend (Bonus Track Version),$9.99 ,Calvin Harris," 2009 Sony Music Entertainment Limited under exclusive license to Ultra Records, Inc.",4.55917,"Dance,Music,Electronic,Rock",$0.99 ,18-Aug-09,I'm Not Alone (deadmau5 Mix) [Bonus Track],8:15,Dance
3079,Ready for the Weekend (Bonus Track Version),$9.99 ,Calvin Harris," 2009 Sony Music Entertainment Limited under exclusive license to Ultra Records, Inc.",4.55917,"Dance,Music,Electronic,Rock",$0.99 ,18-Aug-09,I'm Not Alone (deadmau5 Mix) [Bonus Track],8:15,Dance
3080,I'm Not Alone,$6.99 ,Calvin Harris," 2009 2009 Sony Music Entertainment UK  Limited under exclusive licence to Ultra Records, Inc.",4.61765,"Dance,Music,Electronic",$0.99 ,1-Sep-09,I'm Not Alone (Instrumental),3:31,Dance
3081,I'm Not Alone,$6.99 ,Calvin Harris," 2009 2009 Sony Music Entertainment UK  Limited under exclusive licence to Ultra Records, Inc.",4.61765,"Dance,Music,Electronic",$0.99 ,1-Sep-09,I'm Not Alone (Instrumental),3:31,Dance
3082,I'm Not Alone,$6.99 ,Calvin Harris," 2009 2009 Sony Music Entertainment UK  Limited under exclusive licence to Ultra Records, Inc.",4.61765,"Dance,Music,Electronic",$0.99 ,1-Sep-09,I'm Not Alone (Instrumental),3:31,Dance
3083,I'm Not Alone,$6.99 ,Calvin Harris," 2009 2009 Sony Music Entertainment UK  Limited under exclusive licence to Ultra Records, Inc.",4.61765,"Dance,Music,Electronic",$0.99 ,1-Sep-09,I'm Not Alone (Instrumental),3:31,Dance
3084,I'm Not Alone,$6.99 ,Calvin Harris," 2009 2009 Sony Music Entertainment UK  Limited under exclusive licence to Ultra Records, Inc.",4.61765,"Dance,Music,Electronic",$0.99 ,1-Sep-09,I'm Not Alone (Instrumental),3:31,Dance
3085,I'm Not Alone,$6.99 ,Calvin Harris," 2009 2009 Sony Music Entertainment UK  Limited under exclusive licence to Ultra Records, Inc.",4.61765,"Dance,Music,Electronic",$0.99 ,1-Sep-09,I'm Not Alone (Instrumental),3:31,Dance
3086,I'm Not Alone,$6.99 ,Calvin Harris," 2009 2009 Sony Music Entertainment UK  Limited under exclusive licence to Ultra Records, Inc.",4.61765,"Dance,Music,Electronic",$0.99 ,1-Sep-09,I'm Not Alone (Instrumental),3:31,Dance
3087,I'm Not Alone,$6.99 ,Calvin Harris," 2009 2009 Sony Music Entertainment UK  Limited under exclusive licence to Ultra Records, Inc.",4.61765,"Dance,Music,Electronic",$0.99 ,1-Sep-09,I'm Not Alone (Instrumental),3:31,Dance
3088,I Created Disco,$5.99 ,Calvin Harris, 2007 SONY BMG MUSIC ENTERTAINMENT (UK) Limited,4.50943,"Electronic,Music,Pop,Dance,Rock",$0.99 ,11-Jun-07,Electro Man,4:58,Electronic
3089,I Created Disco,$5.99 ,Calvin Harris, 2007 SONY BMG MUSIC ENTERTAINMENT (UK) Limited,4.50943,"Electronic,Music,Pop,Dance,Rock",$0.99 ,11-Jun-07,Electro Man,4:58,Electronic
3090,I Created Disco,$5.99 ,Calvin Harris, 2007 SONY BMG MUSIC ENTERTAINMENT (UK) Limited,4.50943,"Electronic,Music,Pop,Dance,Rock",$0.99 ,11-Jun-07,Electro Man,4:58,Electronic
3091,I Created Disco,$5.99 ,Calvin Harris, 2007 SONY BMG MUSIC ENTERTAINMENT (UK) Limited,4.50943,"Electronic,Music,Pop,Dance,Rock",$0.99 ,11-Jun-07,Electro Man,4:58,Electronic
3092,I Created Disco,$5.99 ,Calvin Harris, 2007 SONY BMG MUSIC ENTERTAINMENT (UK) Limited,4.50943,"Electronic,Music,Pop,Dance,Rock",$0.99 ,11-Jun-07,Electro Man,4:58,Electronic
3093,I Created Disco,$5.99 ,Calvin Harris, 2007 SONY BMG MUSIC ENTERTAINMENT (UK) Limited,4.50943,"Electronic,Music,Pop,Dance,Rock",$0.99 ,11-Jun-07,Electro Man,4:58,Electronic
3094,I Created Disco,$5.99 ,Calvin Harris, 2007 SONY BMG MUSIC ENTERTAINMENT (UK) Limited,4.50943,"Electronic,Music,Pop,Dance,Rock",$0.99 ,11-Jun-07,Electro Man,4:58,Electronic
3095,I Created Disco,$5.99 ,Calvin Harris, 2007 SONY BMG MUSIC ENTERTAINMENT (UK) Limited,4.50943,"Electronic,Music,Pop,Dance,Rock",$0.99 ,11-Jun-07,Electro Man,4:58,Electronic
3096,I Created Disco,$5.99 ,Calvin Harris, 2007 SONY BMG MUSIC ENTERTAINMENT (UK) Limited,4.50943,"Electronic,Music,Pop,Dance,Rock",$0.99 ,11-Jun-07,Electro Man,4:58,Electronic
3097,I Created Disco,$5.99 ,Calvin Harris, 2007 SONY BMG MUSIC ENTERTAINMENT (UK) Limited,4.50943,"Electronic,Music,Pop,Dance,Rock",$0.99 ,11-Jun-07,Electro Man,4:58,Electronic
3098,I Created Disco,$5.99 ,Calvin Harris, 2007 SONY BMG MUSIC ENTERTAINMENT (UK) Limited,4.50943,"Electronic,Music,Pop,Dance,Rock",$0.99 ,11-Jun-07,Electro Man,4:58,Electronic
3099,I Created Disco,$9.99 ,Calvin Harris, 2007 SONY BMG MUSIC ENTERTAINMENT (UK) Limited,4.52101,"Dance,Music,R&B/Soul,Disco,Electronic,Rock",$0.99 ,18-Jun-07,We're All the Same,3:56,Dance
3100,I Created Disco,$9.99 ,Calvin Harris, 2007 SONY BMG MUSIC ENTERTAINMENT (UK) Limited,4.52101,"Dance,Music,R&B/Soul,Disco,Electronic,Rock",$0.99 ,18-Jun-07,We're All the Same,3:56,Dance
3101,I Created Disco,$9.99 ,Calvin Harris, 2007 SONY BMG MUSIC ENTERTAINMENT (UK) Limited,4.52101,"Dance,Music,R&B/Soul,Disco,Electronic,Rock",$0.99 ,18-Jun-07,We're All the Same,3:56,Dance
3102,I Created Disco,$9.99 ,Calvin Harris, 2007 SONY BMG MUSIC ENTERTAINMENT (UK) Limited,4.52101,"Dance,Music,R&B/Soul,Disco,Electronic,Rock",$0.99 ,18-Jun-07,We're All the Same,3:56,Dance
3103,I Created Disco,$9.99 ,Calvin Harris, 2007 SONY BMG MUSIC ENTERTAINMENT (UK) Limited,4.52101,"Dance,Music,R&B/Soul,Disco,Electronic,Rock",$0.99 ,18-Jun-07,We're All the Same,3:56,Dance
3104,I Created Disco,$9.99 ,Calvin Harris, 2007 SONY BMG MUSIC ENTERTAINMENT (UK) Limited,4.52101,"Dance,Music,R&B/Soul,Disco,Electronic,Rock",$0.99 ,18-Jun-07,We're All the Same,3:56,Dance
3105,I Created Disco,$9.99 ,Calvin Harris, 2007 SONY BMG MUSIC ENTERTAINMENT (UK) Limited,4.52101,"Dance,Music,R&B/Soul,Disco,Electronic,Rock",$0.99 ,18-Jun-07,We're All the Same,3:56,Dance
3106,I Created Disco,$9.99 ,Calvin Harris, 2007 SONY BMG MUSIC ENTERTAINMENT (UK) Limited,4.52101,"Dance,Music,R&B/Soul,Disco,Electronic,Rock",$0.99 ,18-Jun-07,We're All the Same,3:56,Dance
3107,I Created Disco,$9.99 ,Calvin Harris, 2007 SONY BMG MUSIC ENTERTAINMENT (UK) Limited,4.52101,"Dance,Music,R&B/Soul,Disco,Electronic,Rock",$0.99 ,18-Jun-07,We're All the Same,3:56,Dance
3108,I Created Disco,$9.99 ,Calvin Harris, 2007 SONY BMG MUSIC ENTERTAINMENT (UK) Limited,4.52101,"Dance,Music,R&B/Soul,Disco,Electronic,Rock",$0.99 ,18-Jun-07,We're All the Same,3:56,Dance
